;baltic_sea;british_columbia;eastern_bering_sea;evhoe;fr_cgfs;gulf_of_mexico;gulf_of_alaska;gsl_s;ie_igfs;neus;nigfs;nor_bts;ns_ibts;pt_ibts;scotian_shelf;southeast;swc_ibts;west_coast
02-MAR-1993;;;;;;;;;;;;;;;;;;
03-MAR-1993;;;;;;;;;;;;;;;;;;
04-MAR-1993;;;;;;;;;;;;;;;;;;
05-MAR-1993;;;;;;;;;;;;;;;;;;
06-MAR-1993;;;;;;;;;;;;;;;;;;
07-MAR-1993;;;;;;;;;;;;;;;;;;
08-MAR-1993;;;;;;;;;;;;;;;;;;
09-MAR-1993;;;;;;;;;;;;;;;;;;
10-MAR-1993;;;;;;;;;;;;;;;;;;
11-MAR-1993;;;;;;;;;;;;;;;;;;
12-MAR-1993;;;;;;;;;;;;;;;;;;
13-MAR-1993;;;;;;;;;;;;;;;;;;
14-MAR-1993;;;;;;;;;;;;;;;;;;
15-MAR-1993;;;;;;;;;;;;;;;;;;
16-MAR-1993;;;;;;;;;;;;;;;;;;
17-MAR-1993;;;;;;;;;;;;;;;;;;
18-MAR-1993;;;;;;;;;;;;;;;;;;
19-MAR-1993;;;;;;;;;;;;;;;;;;
20-MAR-1993;;;;;;;;;;;;;;;;;;
21-MAR-1993;;;;;;;;;;;;;;;;;;
22-MAR-1993;;;;;;;;;;;;;;;;;;
23-MAR-1993;;;;;;;;;;;;;;;;;;
24-MAR-1993;;;;;;;;;;;;;;;;;;
25-MAR-1993;;;;;;;;;;;;;;;;;;
26-MAR-1993;;;;;;;;;;;;;;;;;;
27-MAR-1993;;;;;;;;;;;;;;;;;;
28-MAR-1993;;;;;;;;;;;;;;;;;;
29-MAR-1993;;;;;;;;;;;;;;;;;;
30-MAR-1993;;;;;;;;;;;;;;;;;;
31-MAR-1993;;;;;;;;;;;;;;;;;;
01. Apr 93;;;;;;;;;;;;;;;;;;
02. Apr 93;;;;;;;;;;;;;;;;;;
03. Apr 93;;;;;;;;;;;;;;;;;;
04. Apr 93;;;;;;;;;;;;;;;;;;
05. Apr 93;;;;;;;;;;;;;;;;;;
06. Apr 93;;;;;;;;;;;;;;;;;;
07. Apr 93;;;;;;;;;;;;;;;;;;
08. Apr 93;;;;;;;;;;;;;;;;;;
09. Apr 93;;;;;;;;;;;;;;;;;;
10. Apr 93;;;;;;;;;;;;;;;;;;
11. Apr 93;;;;;;;;;;;;;;;;;;
12. Apr 93;;;;;;;;;;;;;;;;;;
13. Apr 93;;;;;;;;;;;;;;;;;;
14. Apr 93;;;;;;;;;;;;;;;;;;
15. Apr 93;;;;;;;;;;;;;;;;;;
16. Apr 93;;;;;;;;;;;;;;;;;;
17. Apr 93;;;;;;;;;;;;;;;;;;
18. Apr 93;;;;;;;;;;;;;;;;;;
19. Apr 93;;;;;;;;;;;;;;;;;;
20. Apr 93;;;;;;;;;;;;;;;;;;
21. Apr 93;;;;;;;;;;;;;;;;;;
22. Apr 93;;;;;;;;;;;;;;;;;;
23. Apr 93;;;;;;;;;;;;;;;;;;
24. Apr 93;;;;;;;;;;;;;;;;;;
25. Apr 93;;;;;;;;;;;;;;;;;;
26. Apr 93;;;;;;;;;;;;;;;;;;
27. Apr 93;;;;;;;;;;;;;;;;;;
28. Apr 93;;;;;;;;;;;;;;;;;;
29. Apr 93;;;;;;;;;;;;;;;;;;
30. Apr 93;;;;;;;;;;;;;;;;;;
01-MAY-1993;;;;;;;;;;;;;;;;;;
02-MAY-1993;;;;;;;;;;;;;;;;;;
03-MAY-1993;;;;;;;;;;;;;;;;;;
04-MAY-1993;;;;;;;;;;;;;;;;;;
05-MAY-1993;;;;;;;;;;;;;;;;;;
06-MAY-1993;;;;;;;;;;;;;;;;;;
07-MAY-1993;;;;;;;;;;;;;;;;;;
08-MAY-1993;;;;;;;;;;;;;;;;;;
09-MAY-1993;;;;;;;;;;;;;;;;;;
10-MAY-1993;;;;;;;;;;;;;;;;;;
11-MAY-1993;;;;;;;;;;;;;;;;;;
12-MAY-1993;;;;;;;;;;;;;;;;;;
13-MAY-1993;;;;;;;;;;;;;;;;;;
14-MAY-1993;;;;;;;;;;;;;;;;;;
15-MAY-1993;;;;;;;;;;;;;;;;;;
16-MAY-1993;;;;;;;;;;;;;;;;;;
17-MAY-1993;;;;;;;;;;;;;;;;;;
18-MAY-1993;;;;;;;;;;;;;;;;;;
19-MAY-1993;;;;;;;;;;;;;;;;;;
20-MAY-1993;;;;;;;;;;;;;;;;;;
21-MAY-1993;;;;;;;;;;;;;;;;;;
22-MAY-1993;;;;;;;;;;;;;;;;;;
23-MAY-1993;;;;;;;;;;;;;;;;;;
24-MAY-1993;;;;;;;;;;;;;;;;;;
25-MAY-1993;;;;;;;;;;;;;;;;;;
26-MAY-1993;;;;;;;;;;;;;;;;;;
27-MAY-1993;;;;;;;;;;;;;;;;;;
28-MAY-1993;;;;;;;;;;;;;;;;;;
29-MAY-1993;;;;;;;;;;;;;;;;;;
30-MAY-1993;;;;;;;;;;;;;;;;;;
31-MAY-1993;;;;;;;;;;;;;;;;;;
01. Jun 93;;;;;;;;;;;;;;;;;;
02. Jun 93;;;;;;;;;;;;;;;;;;
03. Jun 93;;;;;;;;;;;;;;;;;;
04. Jun 93;;;;;;;;;;;;;;;;;;
05. Jun 93;;;;;;;;;;;;;;;;;;
06. Jun 93;;;;;;;;;;;;;;;;;;
07. Jun 93;;;;;;;;;;;;;;;;;;
08. Jun 93;;;;;;;;;;;;;;;;;;
09. Jun 93;;;;;;;;;;;;;;;;;;
10. Jun 93;;;;;;;;;;;;;;;;;;
11. Jun 93;;;;;;;;;;;;;;;;;;
12. Jun 93;;;;;;;;;;;;;;;;;;
13. Jun 93;;;;;;;;;;;;;;;;;;
14. Jun 93;;;;;;;;;;;;;;;;;;
15. Jun 93;;;;;;;;;;;;;;;;;;
16. Jun 93;;;;;;;;;;;;;;;;;;
17. Jun 93;;;;;;;;;;;;;;;;;;
18. Jun 93;;;;;;;;;;;;;;;;;;
19. Jun 93;;;;;;;;;;;;;;;;;;
20. Jun 93;;;;;;;;;;;;;;;;;;
21. Jun 93;;;;;;;;;;;;;;;;;;
22. Jun 93;;;;;;;;;;;;;;;;;;
23. Jun 93;;;;;;;;;;;;;;;;;;
24. Jun 93;;;;;;;;;;;;;;;;;;
25. Jun 93;;;;;;;;;;;;;;;;;;
26. Jun 93;;;;;;;;;;;;;;;;;;
27. Jun 93;;;;;;;;;;;;;;;;;;
28. Jun 93;;;;;;;;;;;;;;;;;;
29. Jun 93;;;;;;;;;;;;;;;;;;
30. Jun 93;;;;;;;;;;;;;;;;;;
01. Jul 93;;;;;;;;;;;;;;;;;;
02. Jul 93;;;;;;;;;;;;;;;;;;
03. Jul 93;;;;;;;;;;;;;;;;;;
04. Jul 93;;;;;;;;;;;;;;;;;;
05. Jul 93;;;;;;;;;;;;;;;;;;
06. Jul 93;;;;;;;;;;;;;;;;;;
07. Jul 93;;;;;;;;;;;;;;;;;;
08. Jul 93;;;;;;;;;;;;;;;;0.030699633;;
09. Jul 93;;;;;;;;;;;;;;;;0.208521788;;
10. Jul 93;;;;;;;;;;;;;;;;0.254609729;;
11. Jul 93;;;;;;;;;;;;;;;;0.26620627;;
12. Jul 93;;;;;;;;;;;;;;;;0.275982221;;
13. Jul 93;;;;;;;;;;;;;;;;0.2689535;;
14. Jul 93;;;;;;;;;;;;;;;;0.262952842;;
15. Jul 93;;;;;;;;;;;;;;;;0.213399477;;
16. Jul 93;;;;;;;;;;;;;;;;0.109495074;;
17. Jul 93;;;;;;;;;;;;;;;;0.074754054;;
18. Jul 93;;;;;;;;;;;;;;;;0.187486516;;
19. Jul 93;;;;;;;;;;;;;;;;0.267450719;;
20. Jul 93;;;;;;;;;;;;;;;;0.215851799;;
21. Jul 93;;;;;;;;;;;;;;;;0.217250004;;
22. Jul 93;;;;;;;;;;;;;;;;0.388006747;;
23. Jul 93;;;;;;;;;;;;;;;;0.515988151;;
24. Jul 93;;;;;;;;;;;;;;;;0.575357646;;
25. Jul 93;;;;;;;;;;;;;;;;0.461087982;;
26. Jul 93;;;;;;;;;;;;;;;;0.379909424;;
27. Jul 93;;;;;;;;;;;;;;;;0.442027915;;
28. Jul 93;;;;;;;;;;;;;;;;0.605215243;;
29. Jul 93;;;;;;;;;;;;;;;;0.740259255;;
30. Jul 93;;;;;;;;;;;;;;;;0.729322024;;
31. Jul 93;;;;;;;;;;;;;;;;0.662067094;;
01. Aug 93;;;;;;;;;;;;;;;;0.618162976;;
02. Aug 93;;;;;;;;;;;;;;;;0.593307943;;
03. Aug 93;;;;;;;;;;;;;;;;0.386826573;;
04. Aug 93;;;;;;;;;;;;;;;;0.163356405;;
05. Aug 93;;;;;;;;;;;;;;;;0.017240978;;
06. Aug 93;;;;;;;;;;;;;;;;;;
07. Aug 93;;;;;;;;;;;;;;;;;;
08. Aug 93;;;;;;;;;;;;;;;;;;
09. Aug 93;;;;;;;;;;;;;;;;;;
10. Aug 93;;;;;;;;;;;;;;;;;;
11. Aug 93;;;;;;;;;;;;;;;;;;
12. Aug 93;;;;;;;;;;;;;;;;;;
13. Aug 93;;;;;;;;;;;;;;;;;;
14. Aug 93;;;;;;;;;;;;;;;;;;
15. Aug 93;;;;;;;;;;;;;;;;;;
16. Aug 93;;;;;;;;;;;;;;;;;;
17. Aug 93;;;;;;;;;;;;;;;;;;
18. Aug 93;;;;;;;;;;;;;;;;;;
19. Aug 93;;;;;;;;;;;;;;;;;;
20. Aug 93;;;;;;;;;;;;;;;;;;
21. Aug 93;;;;;;;;;;;;;;;;;;
22. Aug 93;;;;;;;;;;;;;;;;;;
23. Aug 93;;;;;;;;;;;;;;;;;;
24. Aug 93;;;;;;;;;;;;;;;;;;
25. Aug 93;;;;;;;;;;;;;;;;;;
26. Aug 93;;;;;;;;;;;;;;;;;;
27. Aug 93;;;;;;;;;;;;;;;;;;
28. Aug 93;;;;;;;;;;;;;;;;;;
29. Aug 93;;;;;;;;;;;;;;;;;;
30. Aug 93;;;;;;;;;;;;;;;;;;
31. Aug 93;;;;;;;;;;;;;;;;;;
01. Sep 93;;;;;;;;;;;;;;;;;;
02. Sep 93;;;;;;;;;;;;;;;;;;
03. Sep 93;;;;;;;;;;;;;;;;;;
04. Sep 93;;;;;;;;;;;;;;;;;;
05. Sep 93;;;;;;;;;;;;;;;;;;
06. Sep 93;;;;;;;;;;;;;;;;;;
07. Sep 93;;;;;;;;;;;;;;;;;;
08. Sep 93;;;;;;;;;;;;;;;;;;
09. Sep 93;;;;;;;;;;;;;;;;;;
10. Sep 93;;;;;;;;;;;;;;;;;;
11. Sep 93;;;;;;;;;;;;;;;;;;
12. Sep 93;;;;;;;;;;;;;;;;;;
13. Sep 93;;;;;;;;;;;;;;;;;;
14. Sep 93;;;;;;;;;;;;;;;;;;
15. Sep 93;;;;;;;;;;;;;;;;;;
16. Sep 93;;;;;;;;;;;;;;;;;;
17. Sep 93;;;;;;;;;;;;;;;;;;
18. Sep 93;;;;;;;;;;;;;;;;;;
19. Sep 93;;;;;;;;;;;;;;;;;;
20. Sep 93;;;;;;;;;;;;;;;;;;
21. Sep 93;;;;;;;;;;;;;;;;;;
22. Sep 93;;;;;;;;;;;;;;;;;;
23. Sep 93;;;;;;;;;;;;;;;;;;
24. Sep 93;;;;;;;;;;;;;;;;;;
25. Sep 93;;;;;;;;;;;;;;;;;;
26. Sep 93;;;;;;;;;;;;;;;;;;
27. Sep 93;;;;;;;;;;;;;;;;;;
28. Sep 93;;;;;;;;;;;;;;;;;;
29. Sep 93;;;;;;;;;;;;;;;;;;
30. Sep 93;;;;;;;;;;;;;;;;;;
01-OCT-1993;;;;;;;;;;;;;;;;;;
02-OCT-1993;;;;;;;;;;;;;;;;;;
03-OCT-1993;;;;;;;;;;;;;;;;;;
04-OCT-1993;;;;;;;;;;;;;;;;;;
05-OCT-1993;;;;;;;;;;;;;;;;;;
06-OCT-1993;;;;;;;;;;;;;;;;;;
07-OCT-1993;;;;;;;;;;;;;;;;;;
08-OCT-1993;;;;;;;;;;;;;;;;;;
09-OCT-1993;;;;;;;;;;;;;;;;;;
10-OCT-1993;;;;;;;;;;;;;;;;;;
11-OCT-1993;;;;;;;;;;;;;;;;;;
12-OCT-1993;;;;;;;;;;;;;;;;;;
13-OCT-1993;;;;;;;;;;;;;;;;;;
14-OCT-1993;;;;;;;;;;;;;;;;;;
15-OCT-1993;;;;;;;;;;;;;;;;;;
16-OCT-1993;;;;;;;;;;;;;;;;;;
17-OCT-1993;;;;;;;;;;;;;;;;;;
18-OCT-1993;;;;;;;;;;;;;;;;;;
19-OCT-1993;;;;;;;;;;;;;;;;;;
20-OCT-1993;;;;;;;;;;;;;;;;;;
21-OCT-1993;;;;;;;;;;;;;;;;;;
22-OCT-1993;;;;;;;;;;;;;;;;;;
23-OCT-1993;;;;;;;;;;;;;;;;;;
24-OCT-1993;;;;;;;;;;;;;;;;;;
25-OCT-1993;;;;;;;;;;;;;;;;;;
26-OCT-1993;;;;;;;;;;;;;;;;;;
27-OCT-1993;;;;;;;;;;;;;;;;;;
28-OCT-1993;;;;;;;;;;;;;;;;;;
29-OCT-1993;;;;;;;;;;;;;;;;;;
30-OCT-1993;;;;;;;;;;;;;;;;;;
31-OCT-1993;;;;;;;;;;;;;;;;;;
01. Nov 93;;;;;;;;;;;;;;;;;;
02. Nov 93;;;;;;;;;;;;;;;;;;
03. Nov 93;;;;;;;;;;;;;;;;;;
04. Nov 93;;;;;;;;;;;;;;;;;;
05. Nov 93;;;;;;;;;;;;;;;;;;
06. Nov 93;;;;;;;;;;;;;;;;;;
07. Nov 93;;;;;;;;;;;;;;;;;;
08. Nov 93;;;;;;;;;;;;;;;;;;
09. Nov 93;;;;;;;;;;;;;;;;;;
10. Nov 93;;;;;;;;;;;;;;;;;;
11. Nov 93;;;;;;;;;;;;;;;;;;
12. Nov 93;;;;;;;;;;;;;;;;;;
13. Nov 93;;;;;;;;;;;;;;;;;;
14. Nov 93;;;;;;;;;;;;;;;;;;
15. Nov 93;;;;;;;;;;;;;;;;;;
16. Nov 93;;;;;;;;;;;;;;;;;;
17. Nov 93;;;;;;;;;;;;;;;;;;
18. Nov 93;;;;;;;;;;;;;;;;;;
19. Nov 93;;;;;;;;;;;;;;;;;;
20. Nov 93;;;;;;;;;;;;;;;;;;
21. Nov 93;;;;;;;;;;;;;;;;;;
22. Nov 93;;;;;;;;;;;;;;;;;;
23. Nov 93;;;;;;;;;;;;;;;;;;
24. Nov 93;;;;;;;;;;;;;;;;;;
25. Nov 93;;;;;;;;;;;;;;;;;;
26. Nov 93;;;;;;;;;;;;;;;;;;
27. Nov 93;;;;;;;;;;;;;;;;;;
28. Nov 93;;;;;;;;;;;;;;;;;;
29. Nov 93;;;;;;;;;;;;;;;;;;
30. Nov 93;;;;;;;;;;;;;;;;;;
01-DEC-1993;;;;;;;;;;;;;;;;;;
02-DEC-1993;;;;;;;;;;;;;;;;;;
03-DEC-1993;;;;;;;;;;;;;;;;;;
04-DEC-1993;;;;;;;;;;;;;;;;;;
05-DEC-1993;;;;;;;;;;;;;;;;;;
06-DEC-1993;;;;;;;;;;;;;;;;;;
07-DEC-1993;;;;;;;;;;;;;;;;;;
08-DEC-1993;;;;;;;;;;;;;;;;;;
09-DEC-1993;;;;;;;;;;;;;;;;;;
10-DEC-1993;;;;;;;;;;;;;;;;;;
11-DEC-1993;;;;;;;;;;;;;;;;;;
12-DEC-1993;;;;;;;;;;;;;;;;;;
13-DEC-1993;;;;;;;;;;;;;;;;;;
14-DEC-1993;;;;;;;;;;;;;;;;;;
15-DEC-1993;;;;;;;;;;;;;;;;;;
16-DEC-1993;;;;;;;;;;;;;;;;;;
17-DEC-1993;;;;;;;;;;;;;;;;;;
18-DEC-1993;;;;;;;;;;;;;;;;;;
19-DEC-1993;;;;;;;;;;;;;;;;;;
20-DEC-1993;;;;;;;;;;;;;;;;;;
21-DEC-1993;;;;;;;;;;;;;;;;;;
22-DEC-1993;;;;;;;;;;;;;;;;;;
23-DEC-1993;;;;;;;;;;;;;;;;;;
24-DEC-1993;;;;;;;;;;;;;;;;;;
25-DEC-1993;;;;;;;;;;;;;;;;;;
26-DEC-1993;;;;;;;;;;;;;;;;;;
27-DEC-1993;;;;;;;;;;;;;;;;;;
28-DEC-1993;;;;;;;;;;;;;;;;;;
29-DEC-1993;;;;;;;;;;;;;;;;;;
30-DEC-1993;;;;;;;;;;;;;;;;;;
31-DEC-1993;;;;;;;;;;;;;;;;;;
01. Jan 94;;;;;;;;;;;;;;;;;;
02. Jan 94;;;;;;;;;;;;;;;;;;
03. Jan 94;;;;;;;;;;;;;;;;;;
04. Jan 94;;;;;;;;;;;;;;;;;;
05. Jan 94;;;;;;;;;;;;;;;;;;
06. Jan 94;;;;;;;;;;;;;;;;;;
07. Jan 94;;;;;;;;;;;;;;;;;;
08. Jan 94;;;;;;;;;;;;;;;;;;
09. Jan 94;;;;;;;;;;;;;;;;;;
10. Jan 94;;;;;;;;;;;;;;;;;;
11. Jan 94;;;;;;;;;;;;;;;;;;
12. Jan 94;;;;;;;;;;;;;;;;;;
13. Jan 94;;;;;;;;;;;;;;;;;;
14. Jan 94;;;;;;;;;;;;;;;;;;
15. Jan 94;;;;;;;;;;;;;;;;;;
16. Jan 94;;;;;;;;;;;;;;;;;;
17. Jan 94;;;;;;;;;;;;;;;;;;
18. Jan 94;;;;;;;;;;;;;;;;;;
19. Jan 94;;;;;;;;;;;;;;;;;;
20. Jan 94;;;;;;;;;;;;;;;;;;
21. Jan 94;;;;;;;;;;;;;;;;;;
22. Jan 94;;;;;;;;;;;;;;;;;;
23. Jan 94;;;;;;;;;;;;;;;;;;
24. Jan 94;;;;;;;;;;;;;;;;;;
25. Jan 94;;;;;;;;;;;;;;;;;;
26. Jan 94;;;;;;;;;;;;;;;;;;
27. Jan 94;;;;;;;;;;;;;;;;;;
28. Jan 94;;;;;;;;;;;;;;;;;;
29. Jan 94;;;;;;;;;;;;;;;;;;
30. Jan 94;;;;;;;;;;;;;;;;;;
31. Jan 94;;;;;;;;;;;;;;;;;;
01. Feb 94;;;;;;;;;;;;;;;;;;
02. Feb 94;;;;;;;;;;;;;;;;;;
03. Feb 94;;;;;;;;;;;;;;;;;;
04. Feb 94;;;;;;;;;;;;;;;;;;
05. Feb 94;;;;;;;;;;;;;;;;;;
06. Feb 94;;;;;;;;;;;;;;;;;;
07. Feb 94;;;;;;;;;;;;;;;;;;
08. Feb 94;;;;;;;;;;;;;;;;;;
09. Feb 94;;;;;;;;;;;;;;;;;;
10. Feb 94;;;;;;;;;;;;;;;;;;
11. Feb 94;;;;;;;;;;;;;;;;;;
12. Feb 94;;;;;;;;;;;;;;;;;;
13. Feb 94;;;;;;;;;;;;;;;;;;
14. Feb 94;;;;;;;;;;;;;;;;;;
15. Feb 94;;;;;;;;;;;;;;;;;;
16. Feb 94;;;;;;;;;;;;;;;;;;
17. Feb 94;;;;;;;;;;;;;;;;;;
18. Feb 94;;;;;;;;;;;;;;;;;;
19. Feb 94;;;;;;;;;;;;;;;;;;
20. Feb 94;;;;;;;;;;;;;;;;;;
21. Feb 94;;;;;;;;;;;;;;;;;;
22. Feb 94;;;;;;;;;;;;;;;;;;
23. Feb 94;;;;;;;;;;;;;;;;;;
24. Feb 94;;;;;;;;;;;;;;;;;;
25. Feb 94;;;;;;;;;;;;;;;;;;
26. Feb 94;;;;;;;;;;;;;;;;;;
27. Feb 94;;;;;;;;;;;;;;;;;;
28. Feb 94;;;;;;;;;;;;;;;;;;
01-MAR-1994;;;;;;;;;;;;;;;;;;
02-MAR-1994;;;;;;;;;;;;;;;;;;
03-MAR-1994;;;;;;;;;;;;;;;;;;
04-MAR-1994;;;;;;;;;;;;;;;;;;
05-MAR-1994;;;;;;;;;;;;;;;;;;
06-MAR-1994;;;;;;;;;;;;;;;;;;
07-MAR-1994;;;;;;;;;;;;;;;;;;
08-MAR-1994;;;;;;;;;;;;;;;;;;
09-MAR-1994;;;;;;;;;;;;;;;;;;
10-MAR-1994;;;;;;;;;;;;;;;;;;
11-MAR-1994;;;;;;;;;;;;;;;;;;
12-MAR-1994;;;;;;;;;;;;;;;;;;
13-MAR-1994;;;;;;;;;;;;;;;;;;
14-MAR-1994;;;;;;;;;;;;;;;;;;
15-MAR-1994;;;;;;;;;;;;;;;;;;
16-MAR-1994;;;;;;;;;;;;;;;;;;
17-MAR-1994;;;;;;;;;;;;;;;;;;
18-MAR-1994;;;;;;;;;;;;;;;;;;
19-MAR-1994;;;;;;;;;;;;;;;;;;
20-MAR-1994;;;;;;;;;;;;;;;;;;
21-MAR-1994;;;;;;;;;;;;;;;;;;
22-MAR-1994;;;;;;;;;;;;;;;;;;
23-MAR-1994;;;;;;;;;;;;;;;;;;
24-MAR-1994;;;;;;;;;;;;;;;;;;
25-MAR-1994;;;;;;;;;;;;;;;;;;
26-MAR-1994;;;;;;;;;;;;;;;;;;
27-MAR-1994;;;;;;;;;;;;;;;;;;
28-MAR-1994;;;;;;;;;;;;;;;;;;
29-MAR-1994;;;;;;;;;;;;;;;;;;
30-MAR-1994;;;;;;;;;;;;;;;;;;
31-MAR-1994;;;;;;;;;;;;;;;;;;
01. Apr 94;;;;;;;;;;;;;;;;;;
02. Apr 94;;;;;;;;;;;;;;;;;;
03. Apr 94;;;;;;;;;;;;;;;;;;
04. Apr 94;;;;;;;;;;;;;;;;;;
05. Apr 94;;;;;;;;;;;;;;;;;;
06. Apr 94;;;;;;;;;;;;;;;;;;
07. Apr 94;;;;;;;;;;;;;;;;;;
08. Apr 94;;;;;;;;;;;;;;;;;;
09. Apr 94;;;;;;;;;;;;;;;;;;
10. Apr 94;;;;;;;;;;;;;;;;;;
11. Apr 94;;;;;;;;;;;;;;;;;;
12. Apr 94;;;;;;;;;;;;;;;;;;
13. Apr 94;;;;;;;;;;;;;;;;;;
14. Apr 94;;;;;;;;;;;;;;;;;;
15. Apr 94;;;;;;;;;;;;;;;;;;
16. Apr 94;;;;;;;;;;;;;;;;;;
17. Apr 94;;;;;;;;;;;;;;;;;;
18. Apr 94;;;;;;;;;;;;;;;;;;
19. Apr 94;;;;;;;;;;;;;;;;;;
20. Apr 94;;;;;;;;;;;;;;;;;;
21. Apr 94;;;;;;;;;;;;;;;;;;
22. Apr 94;;;;;;;;;;;;;;;;;;
23. Apr 94;;;;;;;;;;;;;;;;;;
24. Apr 94;;;;;;;;;;;;;;;;;;
25. Apr 94;;;;;;;;;;;;;;;;;;
26. Apr 94;;;;;;;;;;;;;;;;;;
27. Apr 94;;;;;;;;;;;;;;;;;;
28. Apr 94;;;;;;;;;;;;;;;;;;
29. Apr 94;;;;;;;;;;;;;;;;;;
30. Apr 94;;;;;;;;;;;;;;;;;;
01-MAY-1994;;;;;;;;;;;;;;;;;;
02-MAY-1994;;;;;;;;;;;;;;;;;;
03-MAY-1994;;;;;;;;;;;;;;;;;;
04-MAY-1994;;;;;;;;;;;;;;;;;;
05-MAY-1994;;;;;;;;;;;;;;;;;;
06-MAY-1994;;;;;;;;;;;;;;;;;;
07-MAY-1994;;;;;;;;;;;;;;;;;;
08-MAY-1994;;;;;;;;;;;;;;;;;;
09-MAY-1994;;;;;;;;;;;;;;;;;;
10-MAY-1994;;;;;;;;;;;;;;;;;;
11-MAY-1994;;;;;;;;;;;;;;;;;;
12-MAY-1994;;;;;;;;;;;;;;;;;;
13-MAY-1994;;;;;;;;;;;;;;;;;;
14-MAY-1994;;;;;;;;;;;;;;;;;;
15-MAY-1994;;;;;;;;;;;;;;;;;;
16-MAY-1994;;;;;;;;;;;;;;;;;;
17-MAY-1994;;;;;;;;;;;;;;;;;;
18-MAY-1994;;;;;;;;;;;;;;;;;;
19-MAY-1994;;;;;;;;;;;;;;;;;;
20-MAY-1994;;;;;;;;;;;;;;;;;;
21-MAY-1994;;;;;;;;;;;;;;;;;;
22-MAY-1994;;;;;;;;;;;;;;;;;;
23-MAY-1994;;;;;;;;;;;;;;;;;;
24-MAY-1994;;;;;;;;;;;;;;;;;;
25-MAY-1994;;;;;;;;;;;;;;;;;;
26-MAY-1994;;;;;;;;;;;;;;;;;;
27-MAY-1994;;;;;;;;;;;;;;;;;;
28-MAY-1994;;;;;;;;;;;;;;;;;;
29-MAY-1994;;;;;;;;;;;;;;;;;;
30-MAY-1994;;;;;;;;;;;;;;;;;;
31-MAY-1994;;;;;;;;;;;;;;;;;;
