family,genus,species,taxonomic.rank,taxon,LME,FAO,habitat,reference.habitat,feeding.mode,reference.feeding.mode,tl,level.tl,reference.tl,body.shape,fin.shape,AR,level.AR,reference.AR,offspring.size,level.offspring.size,reference.offspring.size,spawning.type,reference.spawning.type,age.maturity,level.age.maturity,reference.age.maturity,fecundity,level.fecundity,reference.fecundity,length.infinity,growth.coefficient,level.growth,reference.growth,length.max,level.length.max,reference.length.max,age.max,level.age.max,reference.age.max
Achiridae,Trinectes,maculatus,S,Trinectes maculatus,5,31,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.41,genus,FroesePauly2018,flat,rounded,0.87,gen,FroesePauly2018,0.75,spe,FroesePauly2018,non-guarder,FroesePauly2018,1.7,spe-ocean,FroesePauly2019,15500,fam,Inferred from family,21,0.19,spe-FAO,FroesePauly2018,20,spe,FroesePauly2018,7.0,spe-ocean,FroesePauly2018
Achiridae,Trinectes,maculatus,S,Trinectes maculatus,6,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.41,genus,FroesePauly2018,flat,rounded,0.87,gen,FroesePauly2018,0.75,spe,FroesePauly2018,non-guarder,FroesePauly2018,1.7,spe-ocean,FroesePauly2019,15500,fam,Inferred from family,21,0.19,spe-LME,FroesePauly2018,20,spe,FroesePauly2018,7.0,spe-ocean,FroesePauly2018
Achiridae,Trinectes,maculatus,S,Trinectes maculatus,6,31,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.41,genus,FroesePauly2018,flat,rounded,0.87,gen,FroesePauly2018,0.75,spe,FroesePauly2018,non-guarder,FroesePauly2018,1.7,spe-ocean,FroesePauly2019,15500,fam,Inferred from family,21,0.19,spe-LME,FroesePauly2018,20,spe,FroesePauly2018,7.0,spe-ocean,FroesePauly2018
Achiridae,Trinectes,maculatus,S,Trinectes maculatus,7,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.41,genus,FroesePauly2018,flat,rounded,0.87,gen,FroesePauly2018,0.75,spe,FroesePauly2018,non-guarder,FroesePauly2018,1.7,spe-ocean,FroesePauly2019,15500,fam,Inferred from family,21,0.19,spe-ocean,FroesePauly2018,20,spe,FroesePauly2018,7.0,spe-ocean,FroesePauly2018
Acipenseridae,Acipenser,medirostris,S,Acipenser medirostris,2,67,demersal,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,3.52,spe,FroesePauly2018,elongated,heterocercal,2.06,spe,FroesePauly2018,3.00,gen,FroesePauly2018,non-guarder,FroesePauly2018,12.8,gen-ocean,FroesePauly2019,709389,gen-LME,FroesePauly2018,190,0.09,spe-ocean,FroesePauly2018,203,spe-LME,FroesePauly2018,60.0,spe,FroesePauly2018
Acipenseridae,Acipenser,medirostris,S,Acipenser medirostris,3,67,demersal,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,3.52,spe,FroesePauly2018,elongated,heterocercal,2.06,spe,FroesePauly2018,3.00,gen,FroesePauly2018,non-guarder,FroesePauly2018,12.8,gen-ocean,FroesePauly2019,709389,gen-LME,FroesePauly2018,190,0.09,spe-ocean,FroesePauly2018,163,spe-LME,FroesePauly2018,60.0,spe,FroesePauly2018
Acipenseridae,Acipenser,medirostris,S,Acipenser medirostris,3,77,demersal,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,3.52,spe,FroesePauly2018,elongated,heterocercal,2.06,spe,FroesePauly2018,3.00,gen,FroesePauly2018,non-guarder,FroesePauly2018,12.8,gen-ocean,FroesePauly2019,709389,gen-LME,FroesePauly2018,190,0.09,spe-ocean,FroesePauly2018,163,spe-LME,FroesePauly2018,60.0,spe,FroesePauly2018
Acipenseridae,Acipenser,oxyrinchus,S,Acipenser oxyrinchus,6,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.33,spe,FroesePauly2018,elongated,heterocercal,1.60,gen,FroesePauly2018,2.45,spe,FroesePauly2018,non-guarder,FroesePauly2018,12.8,gen-ocean,FroesePauly2019,2392873,spe-LME,FroesePauly2018,269,0.05,spe-ocean,FroesePauly2018,430,spe-LME,FroesePauly2018,60.0,spe-LME,FroesePauly2018
Acipenseridae,Acipenser,oxyrinchus,S,Acipenser oxyrinchus,6,31,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.33,spe,FroesePauly2018,elongated,heterocercal,1.60,gen,FroesePauly2018,2.45,spe,FroesePauly2018,non-guarder,FroesePauly2018,12.8,gen-ocean,FroesePauly2019,2392873,spe-LME,FroesePauly2018,269,0.05,spe-ocean,FroesePauly2018,430,spe-LME,FroesePauly2018,60.0,spe-LME,FroesePauly2018
Acipenseridae,Acipenser,oxyrinchus,S,Acipenser oxyrinchus,7,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.33,spe,FroesePauly2018,elongated,heterocercal,1.60,gen,FroesePauly2018,2.45,spe,FroesePauly2018,non-guarder,FroesePauly2018,12.8,gen-ocean,FroesePauly2019,2392873,spe-LME,FroesePauly2018,269,0.05,spe-ocean,FroesePauly2018,430,spe-LME,FroesePauly2018,60.0,spe-LME,FroesePauly2018
Acipenseridae,,,F,Acipenseridae,7,21,demersal,"FroesePauly2018, OBIS2018",,,3.58,family,FroesePauly2018,elongated,heterocercal,1.74,fam,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,FroesePauly2018,12.8,fam-ocean,FroesePauly2019,779896,fam-ocean,FroesePauly2018,250,0.04,fam-FAO,FroesePauly2018,186,fam-LME,FroesePauly2018,52.1,fam-FAO,FroesePauly2018
Acropomatidae,Synagrops,bellus,S,Synagrops bellus,5,31,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from genus,3.72,genus,FroesePauly2018,fusiform,forked,1.43,spe,FroesePauly2018,,,,non-guarder,FroesePauly2018,,,,38321,fam,Baeck2012,31,0.35,fam-ocean,FroesePauly2018,23,spe,FroesePauly2018,,,
Acropomatidae,Synagrops,bellus,S,Synagrops bellus,6,21,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from genus,3.72,genus,FroesePauly2018,fusiform,forked,1.43,spe,FroesePauly2018,,,,non-guarder,FroesePauly2018,,,,38321,fam,Baeck2012,31,0.35,fam-ocean,FroesePauly2018,23,spe,FroesePauly2018,,,
Acropomatidae,Synagrops,bellus,S,Synagrops bellus,6,31,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from genus,3.72,genus,FroesePauly2018,fusiform,forked,1.43,spe,FroesePauly2018,,,,non-guarder,FroesePauly2018,,,,38321,fam,Baeck2012,31,0.35,fam-ocean,FroesePauly2018,23,spe,FroesePauly2018,,,
Acropomatidae,Synagrops,bellus,S,Synagrops bellus,7,21,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from genus,3.72,genus,FroesePauly2018,fusiform,forked,1.43,spe,FroesePauly2018,,,,non-guarder,FroesePauly2018,,,,38321,fam,Baeck2012,31,0.35,fam-ocean,FroesePauly2018,23,spe,FroesePauly2018,,,
Acropomatidae,Synagrops,spinosus,S,Synagrops spinosus,5,31,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from genus,3.72,genus,FroesePauly2018,fusiform,forked,1.73,spe,FroesePauly2018,,,,non-guarder,inferred from genus,,,,38321,fam,Baeck2012,31,0.35,fam-ocean,FroesePauly2018,13,spe,FroesePauly2018,,,
Acropomatidae,Synagrops,spinosus,S,Synagrops spinosus,6,21,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from genus,3.72,genus,FroesePauly2018,fusiform,forked,1.73,spe,FroesePauly2018,,,,non-guarder,inferred from genus,,,,38321,fam,Baeck2012,31,0.35,fam-ocean,FroesePauly2018,13,spe,FroesePauly2018,,,
Acropomatidae,Synagrops,spinosus,S,Synagrops spinosus,6,31,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from genus,3.72,genus,FroesePauly2018,fusiform,forked,1.73,spe,FroesePauly2018,,,,non-guarder,inferred from genus,,,,38321,fam,Baeck2012,31,0.35,fam-ocean,FroesePauly2018,13,spe,FroesePauly2018,,,
Acropomatidae,Synagrops,spinosus,S,Synagrops spinosus,7,21,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from genus,3.72,genus,FroesePauly2018,fusiform,forked,1.73,spe,FroesePauly2018,,,,non-guarder,inferred from genus,,,,38321,fam,Baeck2012,31,0.35,fam-ocean,FroesePauly2018,13,spe,FroesePauly2018,,,
Acropomatidae,Synagrops,,G,Synagrops,5,31,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from genus,3.72,genus,FroesePauly2018,fusiform,forked,1.73,gen,FroesePauly2018,,,,non-guarder,inferred from genus,,,,38321,fam,Baeck2012,31,0.35,fam-ocean,FroesePauly2018,16,gen,FroesePauly2018,,,
Agonidae,Agonopsis,sterletus,S,Agonopsis sterletus,3,67,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.24,family,FroesePauly2018,elongated,rounded,1.08,gen,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,fam-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,19,0.46,fam-LME,FroesePauly2018,15,spe,FroesePauly2018,7.0,fam,FroesePauly2018
Agonidae,Agonopsis,sterletus,S,Agonopsis sterletus,3,77,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.24,family,FroesePauly2018,elongated,rounded,1.08,gen,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,fam-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,19,0.46,fam-LME,FroesePauly2018,15,spe,FroesePauly2018,7.0,fam,FroesePauly2018
Agonidae,Agonopsis,vulsa,S,Agonopsis vulsa,1,61,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.24,family,FroesePauly2018,elongated,rounded,1.00,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,fam-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.33,fam-ocean,FroesePauly2018,20,spe,FroesePauly2018,7.0,fam,FroesePauly2018
Agonidae,Agonopsis,vulsa,S,Agonopsis vulsa,1,67,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.24,family,FroesePauly2018,elongated,rounded,1.00,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,fam-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,19,0.46,fam-FAO,FroesePauly2018,20,spe,FroesePauly2018,7.0,fam,FroesePauly2018
Agonidae,Agonopsis,vulsa,S,Agonopsis vulsa,2,67,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.24,family,FroesePauly2018,elongated,rounded,1.00,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,fam-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,19,0.46,fam-FAO,FroesePauly2018,20,spe,FroesePauly2018,7.0,fam,FroesePauly2018
Agonidae,Agonopsis,vulsa,S,Agonopsis vulsa,3,67,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.24,family,FroesePauly2018,elongated,rounded,1.00,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,fam-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,19,0.46,fam-LME,FroesePauly2018,20,spe,FroesePauly2018,7.0,fam-ocean,FroesePauly2018
Agonidae,Agonopsis,vulsa,S,Agonopsis vulsa,3,77,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.24,family,FroesePauly2018,elongated,rounded,1.00,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,fam-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,19,0.46,fam-LME,FroesePauly2018,20,spe,FroesePauly2018,7.0,fam,FroesePauly2018
Agonidae,Agonopsis,vulsa,S,Agonopsis vulsa,65,67,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.24,family,FroesePauly2018,elongated,rounded,1.00,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,fam-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,19,0.46,fam-FAO,FroesePauly2018,20,spe,FroesePauly2018,7.0,fam,FroesePauly2018
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,20,27,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.43,spe,FroesePauly2018,elongated,rounded,0.83,spe,FroesePauly2018,2.00,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.0,spe,Heessen2016,2550,spe-ocean,FroesePauly2018,15,0.47,spe-FAO,FroesePauly2018,21,spe,FroesePauly2018,1.0,spe,Heessen2015
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,21,27,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.43,spe,FroesePauly2018,elongated,rounded,0.83,spe,FroesePauly2018,2.00,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.0,spe,Heessen2016,2550,spe-ocean,FroesePauly2018,15,0.47,spe-FAO,FroesePauly2018,21,spe,FroesePauly2018,1.0,spe,Heessen2015
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,22,27,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.43,spe,FroesePauly2018,elongated,rounded,0.83,spe,FroesePauly2018,2.00,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.0,spe,Heessen2016,2550,spe-ocean,FroesePauly2018,15,0.47,spe-LME,FroesePauly2018,21,spe,FroesePauly2018,1.0,spe,Heessen2015
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,22,27,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.43,spe,FroesePauly2018,elongated,rounded,0.83,spe,FroesePauly2018,2.00,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.0,spe,Heessen2016,2550,spe-ocean,FroesePauly2018,15,0.47,spe-LME,FroesePauly2018,21,spe,FroesePauly2018,1.0,spe,Heessen2015
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,23,27,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.43,spe,FroesePauly2018,elongated,rounded,0.83,spe,FroesePauly2018,2.00,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.0,spe,Heessen2016,2550,spe-ocean,FroesePauly2018,15,0.47,spe-FAO,FroesePauly2018,21,spe,FroesePauly2018,1.0,spe,Heessen2015
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,24,27,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.43,spe,FroesePauly2018,elongated,rounded,0.83,spe,FroesePauly2018,2.00,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.0,spe,Heessen2016,2550,spe-ocean,FroesePauly2018,15,0.47,spe-FAO,FroesePauly2018,21,spe,FroesePauly2018,1.0,spe,Heessen2015
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,59,27,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.43,spe,FroesePauly2018,elongated,rounded,0.83,spe,FroesePauly2018,2.00,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.0,spe,Heessen2016,2550,spe-ocean,FroesePauly2018,15,0.47,spe-FAO,FroesePauly2018,21,spe,FroesePauly2018,1.0,spe,Heessen2015
Agonidae,Anoplagonus,inermis,S,Anoplagonus inermis,1,61,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.24,family,FroesePauly2018,elongated,rounded,0.85,fam,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,fam-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.33,fam-ocean,FroesePauly2018,15,spe,FroesePauly2018,7.0,fam,FroesePauly2018
Agonidae,Anoplagonus,inermis,S,Anoplagonus inermis,1,67,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.24,family,FroesePauly2018,elongated,rounded,0.85,fam,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,fam-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,19,0.46,fam-FAO,FroesePauly2018,15,spe,FroesePauly2018,7.0,fam,FroesePauly2018
Agonidae,Anoplagonus,inermis,S,Anoplagonus inermis,2,67,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.24,family,FroesePauly2018,elongated,rounded,0.85,fam,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,fam-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,19,0.46,fam-FAO,FroesePauly2018,15,spe,FroesePauly2018,7.0,fam-ocean,FroesePauly2018
Agonidae,Anoplagonus,inermis,S,Anoplagonus inermis,3,67,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.24,family,FroesePauly2018,elongated,rounded,0.85,fam,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,fam-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,19,0.46,fam-LME,FroesePauly2018,15,spe,FroesePauly2018,7.0,fam,FroesePauly2018
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,1,61,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.00,spe,FroesePauly2018,elongated,rounded,0.63,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,inferred from family,4.7,spe-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.23,spe-ocean,FroesePauly2018,20,spe-ocean,FroesePauly2018,7.0,spe-ocean,FroesePauly2018
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,1,67,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.00,spe,FroesePauly2018,elongated,rounded,0.63,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,inferred from family,4.7,spe-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.23,spe-ocean,FroesePauly2018,20,spe-FAO,FroesePauly2018,7.0,spe-FAO,FroesePauly2018
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,2,67,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.00,spe,FroesePauly2018,elongated,rounded,0.63,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,inferred from family,4.7,spe-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.23,spe-ocean,FroesePauly2018,20,spe-LME,FroesePauly2018,7.0,spe-FAO,FroesePauly2018
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,7,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.00,spe,FroesePauly2018,elongated,rounded,0.63,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,inferred from family,4.7,spe-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.23,spe-ocean,FroesePauly2018,20,spe-FAO,FroesePauly2018,7.0,spe-FAO,FroesePauly2018
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,8,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.00,spe,FroesePauly2018,elongated,rounded,0.63,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,inferred from family,4.7,spe-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.23,spe-ocean,FroesePauly2018,20,spe-LME,FroesePauly2018,7.0,spe-FAO,FroesePauly2018
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,18,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.00,spe,FroesePauly2018,elongated,rounded,0.63,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,inferred from family,4.7,spe-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.23,spe-ocean,FroesePauly2018,20,spe-FAO,FroesePauly2018,7.0,spe-FAO,FroesePauly2018
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,19,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.00,spe,FroesePauly2018,elongated,rounded,0.63,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,inferred from family,4.7,spe-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.23,spe-ocean,FroesePauly2018,20,spe-FAO,FroesePauly2018,7.0,spe-FAO,FroesePauly2018
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,54,61,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.00,spe,FroesePauly2018,elongated,rounded,0.63,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,inferred from family,4.7,spe-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.23,spe-ocean,FroesePauly2018,20,spe-ocean,FroesePauly2018,7.0,spe-ocean,FroesePauly2018
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,65,61,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.00,spe,FroesePauly2018,elongated,rounded,0.63,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,inferred from family,4.7,spe-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.23,spe-ocean,FroesePauly2018,20,spe-LME,FroesePauly2018,7.0,spe-ocean,FroesePauly2018
Agonidae,Aspidophoroides,olrikii,S,Aspidophoroides olrikii,1,61,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.25,spe,FroesePauly2018,elongated,truncate,0.97,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,inferred from family,4.7,gen-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.23,gen-ocean,FroesePauly2018,9,spe,FroesePauly2018,7.0,gen-ocean,FroesePauly2018
Agonidae,Aspidophoroides,olrikii,S,Aspidophoroides olrikii,1,67,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.25,spe,FroesePauly2018,elongated,truncate,0.97,spe,FroesePauly2018,1.87,fam,FroesePauly2018,non-guarder,FroesePauly2018,4.7,gen-ocean,FroesePauly2019,1873,fam-ocean,FroesePauly2018,16,0.23,gen-ocean,FroesePauly2018,9,spe,FroesePauly2018,7.0,gen-FAO,FroesePauly2018
