"","survey","ref_yr","n_mhw"
"404","SWC-IBTS","SWC-IBTS-2-2009",2
"405","SWC-IBTS","SWC-IBTS-2-2010",1
"406","SWC-IBTS","SWC-IBTS-2-2011",1
"407","SWC-IBTS","SWC-IBTS-2-2012",0
"408","SWC-IBTS","SWC-IBTS-2-2013",0
"409","SWC-IBTS","SWC-IBTS-2-2014",2
"410","SWC-IBTS","SWC-IBTS-2-2015",2
"411","SWC-IBTS","SWC-IBTS-2-2016",0
"412","SWC-IBTS","SWC-IBTS-2-2017",1
"413","SWC-IBTS","SWC-IBTS-2-2018",1
"414","SWC-IBTS","SWC-IBTS-2-2019",4
"415","WCANN","WCANN-5-2003",0
"416","WCANN","WCANN-5-2004",0
"417","WCANN","WCANN-5-2005",0
"418","WCANN","WCANN-5-2006",0
"419","WCANN","WCANN-5-2007",0
"420","WCANN","WCANN-5-2008",0
"421","WCANN","WCANN-5-2009",0
"422","WCANN","WCANN-5-2010",0
"423","WCANN","WCANN-5-2011",0
"424","WCANN","WCANN-5-2012",0
"425","WCANN","WCANN-5-2013",0
"426","WCANN","WCANN-5-2014",0
"427","WCANN","WCANN-5-2015",5
"428","WCANN","WCANN-5-2016",7
"429","WCANN","WCANN-5-2017",1
"430","WCANN","WCANN-5-2018",0
