ref_yr,anomMonths,anom_sev,anom_int,mhw_yes_no
FR-CGFS-10-2005,0,0,0,no
FR-CGFS-10-2006,0,0,0,no
FR-CGFS-10-2007,1,0.029882656,0.029882656,yes
FR-CGFS-10-2008,0,0,0,no
FR-CGFS-10-2009,0,0,0,no
FR-CGFS-10-2010,0,0,0,no
FR-CGFS-10-2011,0,0,0,no
FR-CGFS-10-2012,1,0.016697538,0.016697538,yes
FR-CGFS-10-2013,0,0,0,no
FR-CGFS-10-2014,1,0.260649738,0.260649738,yes
FR-CGFS-10-2015,3,0.505445436,0.168481812,yes
FR-CGFS-10-2016,0,0,0,no
FR-CGFS-10-2017,0,0,0,no
GMEX-6-1988,0,0,0,no
GMEX-6-1989,0,0,0,no
GMEX-6-1990,3,0.627382259,0.20912741966666668,yes
GMEX-6-1991,0,0,0,no
GMEX-6-1992,4,1.7670713789999999,0.44176784474999997,yes
GMEX-6-1993,0,0,0,no
GMEX-6-1994,0,0,0,no
GMEX-6-1995,0,0,0,no
GMEX-6-1996,2,0.222314221,0.1111571105,yes
GMEX-6-1997,0,0,0,no
GMEX-6-1998,0,0,0,no
GMEX-6-1999,0,0,0,no
GMEX-6-2000,0,0,0,no
GMEX-6-2001,0,0,0,no
GMEX-6-2002,0,0,0,no
GMEX-6-2003,0,0,0,no
GMEX-6-2004,2,0.312143847,0.1560719235,yes
GMEX-6-2005,0,0,0,no
GMEX-6-2006,5,1.447232898,0.2894465796,yes
GMEX-6-2007,0,0,0,no
GMEX-6-2008,1,0.37416214800000003,0.37416214800000003,yes
GMEX-6-2009,0,0,0,no
GMEX-6-2010,0,0,0,no
GMEX-6-2011,0,0,0,no
GMEX-6-2012,0,0,0,no
GMEX-6-2013,2,0.122244868,0.061122434,yes
GMEX-6-2014,0,0,0,no
GMEX-6-2015,0,0,0,no
GMEX-6-2016,0,0,0,no
GMEX-6-2017,0,0,0,no
GOA-5-1999,4,0.17881425299999998,0.044703563249999995,yes
GOA-5-2001,0,0,0,no
GOA-5-2003,1,0.036368827,0.036368827,yes
GOA-5-2005,0,0,0,no
GOA-5-2007,0,0,0,no
GOA-5-2009,0,0,0,no
GOA-5-2011,0,0,0,no
GOA-5-2013,0,0,0,no
GOA-5-2015,2,0.039863139,0.0199315695,yes
GOA-5-2017,6,1.0606585689999999,0.17677642816666664,yes
GSL-S-8-1985,7,2.694701404,0.3849573434285714,yes
GSL-S-8-1986,3,2.672508914,0.8908363046666666,yes
GSL-S-8-1987,1,0.009739639,0.009739639,yes
GSL-S-8-1988,0,0,0,no
GSL-S-8-1989,0,0,0,no
GSL-S-8-1990,0,0,0,no
GSL-S-8-1991,1,0.189860922,0.189860922,yes
GSL-S-8-1992,0,0,0,no
GSL-S-8-1993,0,0,0,no
GSL-S-8-1994,0,0,0,no
GSL-S-8-1995,0,0,0,no
GSL-S-8-1996,0,0,0,no
GSL-S-8-1997,0,0,0,no
GSL-S-8-1998,0,0,0,no
GSL-S-8-1999,0,0,0,no
GSL-S-8-2000,0,0,0,no
GSL-S-8-2001,0,0,0,no
GSL-S-8-2002,0,0,0,no
GSL-S-8-2004,0,0,0,no
GSL-S-8-2005,0,0,0,no
GSL-S-8-2006,0,0,0,no
GSL-S-8-2007,0,0,0,no
GSL-S-8-2008,0,0,0,no
GSL-S-8-2009,0,0,0,no
GSL-S-8-2010,0,0,0,no
GSL-S-8-2011,0,0,0,no
GSL-S-8-2012,0,0,0,no
GSL-S-8-2013,0,0,0,no
GSL-S-8-2014,0,0,0,no
GSL-S-8-2015,0,0,0,no
GSL-S-8-2016,0,0,0,no
GSL-S-8-2017,0,0,0,no
IE-IGFS-10-2003,4,0.770131404,0.192532851,yes
IE-IGFS-10-2004,2,0.060577259,0.0302886295,yes
IE-IGFS-10-2005,0,0,0,no
IE-IGFS-10-2006,0,0,0,no
IE-IGFS-10-2007,0,0,0,no
IE-IGFS-10-2008,0,0,0,no
IE-IGFS-10-2009,0,0,0,no
IE-IGFS-10-2010,0,0,0,no
IE-IGFS-10-2011,0,0,0,no
IE-IGFS-10-2012,0,0,0,no
IE-IGFS-10-2013,1,0.110145888,0.110145888,yes
IE-IGFS-10-2014,0,0,0,no
IE-IGFS-10-2015,0,0,0,no
IE-IGFS-10-2016,0,0,0,no
IE-IGFS-10-2017,0,0,0,no
NEUS-9-1982,0,0,0,no
NEUS-9-1983,0,0,0,no
NEUS-9-1984,0,0,0,no
NEUS-9-1985,2,0.462279083,0.2311395415,yes
NEUS-9-1986,3,0.334671057,0.111557019,yes
NEUS-9-1987,0,0,0,no
NEUS-9-1988,0,0,0,no
NEUS-9-1989,0,0,0,no
NEUS-9-1990,0,0,0,no
NEUS-9-1991,0,0,0,no
NEUS-9-1992,1,0.188463997,0.188463997,yes
NEUS-9-1993,0,0,0,no
NEUS-9-1994,0,0,0,no
NEUS-9-1995,2,0.030403885999999998,0.015201942999999999,yes
NEUS-9-1996,0,0,0,no
NEUS-9-1997,2,0.530479931,0.2652399655,yes
NEUS-9-1998,1,0.123071852,0.123071852,yes
NEUS-9-1999,0,0,0,no
NEUS-9-2000,2,1.290933173,0.6454665865,yes
NEUS-9-2001,2,0.436278699,0.2181393495,yes
NEUS-9-2002,0,0,0,no
NEUS-9-2003,0,0,0,no
NEUS-9-2004,2,0.609931992,0.304965996,yes
NEUS-9-2005,0,0,0,no
NEUS-9-2006,0,0,0,no
NEUS-9-2007,0,0,0,no
NEUS-9-2008,0,0,0,no
NEUS-9-2009,0,0,0,no
NEUS-9-2010,0,0,0,no
NEUS-9-2011,0,0,0,no
NEUS-9-2012,0,0,0,no
NEUS-9-2013,0,0,0,no
NEUS-9-2014,0,0,0,no
NEUS-9-2015,1,0.289432746,0.289432746,yes
NEUS-9-2016,3,0.610910346,0.20363678200000002,yes
NEUS-9-2017,1,0.121854232,0.121854232,yes
NIGFS-10-2009,0,0,0,no
NIGFS-10-2010,0,0,0,no
NIGFS-10-2011,0,0,0,no
NIGFS-10-2012,0,0,0,no
NIGFS-10-2013,0,0,0,no
NIGFS-10-2014,0,0,0,no
NIGFS-10-2015,0,0,0,no
NIGFS-10-2016,0,0,0,no
NIGFS-10-2017,0,0,0,no
Nor-BTS-8-1982,0,0,0,no
Nor-BTS-8-1983,0,0,0,no
Nor-BTS-8-1984,3,0.275932972,0.09197765733333334,yes
Nor-BTS-8-1985,0,0,0,no
Nor-BTS-8-1986,0,0,0,no
Nor-BTS-8-1987,0,0,0,no
Nor-BTS-8-1988,0,0,0,no
Nor-BTS-8-1989,0,0,0,no
Nor-BTS-8-1990,2,0.005678466,0.002839233,yes
Nor-BTS-8-1991,5,0.39742874100000003,0.07948574820000001,yes
Nor-BTS-8-1992,2,0.094250293,0.0471251465,yes
Nor-BTS-8-1993,0,0,0,no
Nor-BTS-8-1994,0,0,0,no
Nor-BTS-8-1995,0,0,0,no
Nor-BTS-8-1996,0,0,0,no
Nor-BTS-8-1997,0,0,0,no
Nor-BTS-8-1998,0,0,0,no
Nor-BTS-8-1999,0,0,0,no
Nor-BTS-8-2000,0,0,0,no
NS-IBTS-1-1982,0,0,0,no
NS-IBTS-1-1983,1,0.109794949,0.109794949,yes
NS-IBTS-1-1984,0,0,0,no
NS-IBTS-1-1985,1,0.11810456,0.11810456,yes
NS-IBTS-1-1986,0,0,0,no
NS-IBTS-1-1987,0,0,0,no
NS-IBTS-1-1988,0,0,0,no
NS-IBTS-1-1989,0,0,0,no
NS-IBTS-1-1990,4,0.819790536,0.204947634,yes
NS-IBTS-1-1991,5,1.1190157420000002,0.22380314840000004,yes
NS-IBTS-1-1992,0,0,0,no
NS-IBTS-1-1993,2,0.21861906199999998,0.10930953099999999,yes
NS-IBTS-1-1994,0,0,0,no
NS-IBTS-1-1995,0,0,0,no
NS-IBTS-1-1996,0,0,0,no
NS-IBTS-1-1997,0,0,0,no
NS-IBTS-1-1998,0,0,0,no
NS-IBTS-1-1999,0,0,0,no
NS-IBTS-1-2000,0,0,0,no
NS-IBTS-1-2001,0,0,0,no
NS-IBTS-1-2002,0,0,0,no
NS-IBTS-1-2003,0,0,0,no
NS-IBTS-1-2004,1,0.139331555,0.139331555,yes
NS-IBTS-1-2005,2,0.029698943999999998,0.014849471999999999,yes
NS-IBTS-1-2006,1,0.001801552,0.001801552,yes
NS-IBTS-1-2007,0,0,0,no
NS-IBTS-1-2008,0,0,0,no
NS-IBTS-1-2009,1,0.025845469,0.025845469,yes
NS-IBTS-1-2010,1,0.025850817,0.025850817,yes
NS-IBTS-1-2011,0,0,0,no
NS-IBTS-1-2012,1,0.049241799,0.049241799,yes
NS-IBTS-1-2013,0,0,0,no
NS-IBTS-1-2014,0,0,0,no
NS-IBTS-1-2015,0,0,0,no
NS-IBTS-1-2016,3,0.644733372,0.214911124,yes
NS-IBTS-1-2017,0,0,0,no
NS-IBTS-1-2018,0,0,0,no
PT-IBTS-9-2005,0,0,0,no
PT-IBTS-9-2006,0,0,0,no
PT-IBTS-9-2007,2,0.43524064500000004,0.21762032250000002,yes
PT-IBTS-9-2008,0,0,0,no
PT-IBTS-9-2009,0,0,0,no
PT-IBTS-9-2010,0,0,0,no
PT-IBTS-9-2011,0,0,0,no
PT-IBTS-9-2013,0,0,0,no
PT-IBTS-9-2014,1,0.066039652,0.066039652,yes
PT-IBTS-9-2015,2,0.136820467,0.0684102335,yes
PT-IBTS-9-2016,0,0,0,no
PT-IBTS-9-2017,0,0,0,no
SCS-6-1982,3,0.09740031300000002,0.032466771000000005,yes
SCS-6-1983,0,0,0,no
SCS-6-1984,2,0.379221561,0.1896107805,yes
SCS-6-1985,7,0.641050083,0.09157858328571429,yes
SCS-6-1986,3,0.526483544,0.17549451466666666,yes
SCS-6-1987,4,1.664322691,0.41608067275,yes
SCS-6-1988,0,0,0,no
SCS-6-1989,0,0,0,no
SCS-6-1990,0,0,0,no
SCS-6-1991,0,0,0,no
SCS-6-1992,0,0,0,no
SCS-6-1993,0,0,0,no
SCS-6-1994,1,0.01422504,0.01422504,yes
SCS-6-1995,2,0.21057643499999998,0.10528821749999999,yes
SCS-6-1996,0,0,0,no
SCS-6-1997,0,0,0,no
SCS-6-1998,0,0,0,no
SCS-6-1999,0,0,0,no
SCS-6-2000,0,0,0,no
SCS-6-2001,0,0,0,no
SCS-6-2002,0,0,0,no
SCS-6-2003,0,0,0,no
SCS-6-2004,0,0,0,no
SCS-6-2005,0,0,0,no
SCS-6-2006,0,0,0,no
SCS-6-2007,0,0,0,no
SCS-6-2008,0,0,0,no
SCS-6-2009,0,0,0,no
SCS-6-2010,0,0,0,no
SCS-6-2011,0,0,0,no
SCS-6-2012,0,0,0,no
SCS-6-2013,0,0,0,no
SCS-6-2014,0,0,0,no
SCS-6-2015,0,0,0,no
SCS-6-2016,0,0,0,no
SCS-6-2017,0,0,0,no
SEUS-4-1990,0,0,0,no
SEUS-4-1991,2,0.44975494,0.22487747,yes
SEUS-4-1992,0,0,0,no
SEUS-4-1993,0,0,0,no
SEUS-4-1994,0,0,0,no
SEUS-4-1995,0,0,0,no
SEUS-4-1996,0,0,0,no
SEUS-4-1997,0,0,0,no
SEUS-4-1998,0,0,0,no
SEUS-4-1999,0,0,0,no
SEUS-4-2000,0,0,0,no
SEUS-4-2001,0,0,0,no
SEUS-4-2002,0,0,0,no
SEUS-4-2003,0,0,0,no
SEUS-4-2004,0,0,0,no
SEUS-4-2005,0,0,0,no
SEUS-4-2006,2,0.877268295,0.4386341475,yes
SEUS-4-2007,0,0,0,no
SEUS-4-2008,0,0,0,no
SEUS-4-2009,0,0,0,no
SEUS-4-2010,0,0,0,no
SEUS-4-2011,0,0,0,no
SEUS-4-2012,0,0,0,no
SEUS-4-2013,1,0.272578551,0.272578551,yes
SEUS-4-2014,0,0,0,no
SEUS-4-2015,0,0,0,no
SEUS-4-2016,0,0,0,no
SEUS-4-2017,1,0.184930523,0.184930523,yes
SWC-IBTS-2-1990,1,0.047747441,0.047747441,yes
SWC-IBTS-2-1991,3,0.081257887,0.027085962333333335,yes
SWC-IBTS-2-1992,0,0,0,no
SWC-IBTS-2-1993,0,0,0,no
SWC-IBTS-2-1994,0,0,0,no
SWC-IBTS-2-1995,0,0,0,no
SWC-IBTS-2-1996,0,0,0,no
SWC-IBTS-2-1997,0,0,0,no
SWC-IBTS-2-1998,3,0.268143387,0.089381129,yes
SWC-IBTS-2-1999,0,0,0,no
SWC-IBTS-2-2000,0,0,0,no
SWC-IBTS-2-2001,0,0,0,no
SWC-IBTS-2-2002,0,0,0,no
SWC-IBTS-2-2003,1,0.062567461,0.062567461,yes
SWC-IBTS-2-2004,6,0.869738456,0.14495640933333334,yes
SWC-IBTS-2-2005,0,0,0,no
SWC-IBTS-2-2006,2,0.019255293,0.0096276465,yes
SWC-IBTS-2-2007,0,0,0,no
SWC-IBTS-2-2008,0,0,0,no
SWC-IBTS-2-2009,0,0,0,no
SWC-IBTS-2-2010,1,3.85616e-4,3.85616e-4,yes
SWC-IBTS-2-2011,0,0,0,no
SWC-IBTS-2-2012,0,0,0,no
SWC-IBTS-2-2013,0,0,0,no
SWC-IBTS-2-2014,0,0,0,no
SWC-IBTS-2-2015,0,0,0,no
SWC-IBTS-2-2016,0,0,0,no
SWC-IBTS-2-2017,0,0,0,no
WCANN-5-2003,0,0,0,no
WCANN-5-2004,0,0,0,no
WCANN-5-2005,0,0,0,no
WCANN-5-2006,0,0,0,no
WCANN-5-2007,0,0,0,no
WCANN-5-2008,0,0,0,no
WCANN-5-2009,0,0,0,no
WCANN-5-2010,0,0,0,no
WCANN-5-2011,1,0.725461383,0.725461383,yes
WCANN-5-2012,0,0,0,no
WCANN-5-2013,0,0,0,no
WCANN-5-2014,2,1.943745007,0.9718725035,yes
WCANN-5-2015,0,0,0,no
WCANN-5-2016,0,0,0,no
WCANN-5-2017,1,0.099935194,0.099935194,yes
